# scripts/eval_reacher_residual.py
controller,scenario,need,best,final,path,eff,reached
clone + warmstart,28,0.30627,0.00428,0.01211,0.59466,1.9691,1
clone + warmstart,29,0.10318,0.00873,0.02534,0.17257,1.8271,1
clone + warmstart,30,0.33832,0.00493,0.02004,0.54011,1.6200,1
clone + warmstart,31,0.14079,0.00214,0.00214,0.19899,1.4353,1
clone + warmstart,32,0.15517,0.00170,0.03899,0.26255,1.7107,1
clone + warmstart,33,0.14703,0.00258,0.01922,0.29888,2.0691,1
clone + warmstart,34,0.35317,0.00280,0.00950,0.64826,1.8502,1
clone + warmstart,35,0.20928,0.00386,0.01009,0.30780,1.4983,1
clone + warmstart,36,0.34080,0.00748,0.00748,0.68532,2.0560,1
clone + warmstart,37,0.30752,0.01818,0.01818,0.74440,2.5728,0
clone + warmstart,38,0.03370,0.01493,0.11039,0.26740,14.2456,0
clone + warmstart,39,0.27269,0.00935,0.03016,1.01447,3.8523,1
clone + warmstart,40,0.25154,0.00503,0.00620,0.35092,1.4235,1
clone + warmstart,41,0.21409,0.02065,0.02065,0.54955,2.8409,0
clone + warmstart,42,0.38091,0.01871,0.02347,0.96478,2.6637,0
clone + warmstart,43,0.16370,0.00081,0.00462,0.25094,1.5406,1
clone + warmstart,44,0.08860,0.00117,0.00251,0.16529,1.8906,1
clone + warmstart,45,0.31974,0.01420,0.01420,0.41367,1.3539,0
clone + warmstart,46,0.33757,0.04756,0.04944,1.09564,3.7780,0
clone + warmstart,47,0.20727,0.01083,0.01083,0.39674,2.0196,0
clone + warmstart,48,0.11947,0.00397,0.00430,0.24803,2.1475,1
clone + warmstart,49,0.25649,0.00718,0.01234,0.57253,2.2965,1
clone + warmstart,50,0.18705,0.00314,0.00661,0.35523,1.9315,1
clone + warmstart,51,0.11518,0.00988,0.01595,0.18758,1.7815,1
clone + warmstart,52,0.05708,0.00788,0.01331,0.08305,1.6881,1
clone + warmstart,53,0.28449,0.00957,0.01264,0.44712,1.6263,1
clone + warmstart,54,0.19459,0.00208,0.00302,0.44862,2.3304,1
clone + warmstart,55,0.12032,0.03921,0.04088,0.10014,1.2347,0
clone + warmstart,56,0.33950,0.02434,0.03790,0.69241,2.1970,0
clone + warmstart,57,0.28379,0.00533,0.01141,0.45673,1.6402,1
clone + warmstart,58,0.23007,0.00958,0.01143,0.44750,2.0296,1
clone + warmstart,59,0.37091,0.00041,0.01210,0.54090,1.4599,1
clone + warmstart,60,0.17308,0.00297,0.01468,0.25112,1.4762,1
clone + warmstart,61,0.27148,0.01090,0.01379,0.62487,2.3981,0
clone + warmstart,62,0.02273,0.01659,0.01659,0.03814,6.2137,0
clone + warmstart,63,0.17114,0.02008,0.02374,0.31087,2.0580,0
clone + warmstart,64,0.14938,0.00038,0.00247,0.22692,1.5229,1
clone + warmstart,65,0.13362,0.00112,0.00435,0.24278,1.8324,1
clone + warmstart,66,0.21787,0.00627,0.00627,0.32815,1.5508,1
clone + warmstart,67,0.03688,0.02317,0.03737,0.03946,2.8784,0
clone + warmstart,68,0.09710,0.00542,0.01788,0.15144,1.6518,1
clone + warmstart,69,0.11640,0.00424,0.01633,0.16907,1.5074,1
clone + warmstart,70,0.31495,0.01869,0.04437,0.48011,1.6206,0
clone + warmstart,71,0.05550,0.00151,0.00648,0.07517,1.3921,1
clone + warmstart,72,0.19690,0.00170,0.00503,0.38255,1.9598,1
clone + warmstart,73,0.11083,0.01120,0.01120,0.22190,2.2273,0
clone + warmstart,74,0.34077,0.00217,0.01599,0.45205,1.3350,1
clone + warmstart,75,0.26932,0.00312,0.01158,0.48382,1.8175,1
clone + warmstart,76,0.27778,0.00265,0.01297,0.50324,1.8290,1
clone + warmstart,77,0.07763,0.00454,0.00731,0.10887,1.4894,1
clone + warmstart,78,0.25330,0.00120,0.00900,0.36075,1.4310,1
clone + warmstart,79,0.09395,0.00794,0.00822,0.14705,1.7097,1
clone + warmstart,80,0.02274,0.00829,0.00865,0.04747,3.2833,1
clone + warmstart,81,0.19503,0.01080,0.01247,0.31609,1.7157,0
clone + warmstart,82,0.08795,0.02698,0.02818,0.09937,1.6297,0
clone + warmstart,83,0.05244,0.00015,0.00126,0.12183,2.3299,1
clone + warmstart,84,0.25129,0.00825,0.00923,0.54299,2.2341,1
clone + warmstart,85,0.32350,0.01953,0.01953,0.68537,2.2547,0
clone + warmstart,86,0.30499,0.03228,0.03429,0.40263,1.4764,0
clone + warmstart,87,0.33262,0.03321,0.04397,0.69908,2.3349,0
clone + warmstart,88,0.23659,0.01661,0.01814,0.53974,2.4536,0
clone + warmstart,89,0.17289,0.00828,0.00828,0.26304,1.5980,1
clone + warmstart,90,0.18783,0.00101,0.00343,0.28818,1.5426,1
clone + warmstart,91,0.05106,0.00667,0.00783,0.13552,3.0526,1
clone + warmstart,92,0.05732,0.00949,0.01401,0.10971,2.2940,1
clone + warmstart,93,0.18192,0.00595,0.04841,0.27127,1.5415,1
clone + warmstart,94,0.20264,0.00600,0.01194,0.27057,1.3759,1
clone + warmstart,95,0.17349,0.01621,0.14558,0.86340,5.4895,0
clone + warmstart,96,0.03843,0.01311,0.02125,0.06969,2.7523,0
clone + warmstart,97,0.04277,0.00411,0.00411,0.08478,2.1925,1
clone + warmstart,98,0.30707,0.00238,0.00238,0.45420,1.4907,1
clone + warmstart,99,0.31733,0.00594,0.01590,0.66161,2.1247,1
clone + warmstart,100,0.23802,0.02005,0.05372,0.41105,1.8857,0
clone + warmstart,101,0.17281,0.00273,0.01141,0.23138,1.3604,1
clone + warmstart,102,0.30360,0.00887,0.01046,0.48764,1.6545,1
clone + warmstart,103,0.22191,0.00092,0.00682,0.42912,1.9418,1
clone + warmstart,104,0.15946,0.01304,0.01847,0.27449,1.8746,0
clone + warmstart,105,0.19202,0.00958,0.00958,0.35008,1.9188,1
clone + warmstart,106,0.21007,0.00059,0.02020,0.33878,1.6172,1
clone + warmstart,107,0.25053,0.00585,0.01724,0.56008,2.2890,1
clone + warmstart,108,0.07446,0.00334,0.04272,0.11834,1.6639,1
clone + warmstart,109,0.16707,0.00148,0.00148,0.22673,1.3692,1
clone + warmstart,110,0.17140,0.00558,0.00909,0.22790,1.3744,1
clone + warmstart,111,0.19800,0.01108,0.01108,0.33435,1.7888,0
clone + warmstart,112,0.26585,0.02387,0.02387,0.43593,1.8015,0
clone + warmstart,113,0.15090,0.01031,0.02729,0.28668,2.0390,0
clone + warmstart,114,0.34456,0.00557,0.00845,0.50853,1.5001,1
clone + warmstart,115,0.28318,0.00401,0.00458,0.60194,2.1562,1
clone + warmstart,116,0.08266,0.00540,0.01351,0.11116,1.4386,1
clone + warmstart,117,0.13689,0.00223,0.00759,0.16772,1.2455,1
clone + warmstart,118,0.36378,0.00324,0.00961,0.75606,2.0970,1
clone + warmstart,119,0.14952,0.04228,0.07457,0.21392,1.9949,0
clone + residual,0,0.05798,0.00698,0.00968,0.06441,1.2631,1
clone + residual,1,0.25695,0.00257,0.00284,0.53656,2.1092,1
clone + residual,2,0.26316,0.00064,0.00497,0.36860,1.4041,1
clone + residual,3,0.06635,0.00102,0.00434,0.07886,1.2072,1
clone + residual,4,0.34088,0.00147,0.00148,0.60271,1.7758,1
clone + residual,5,0.10056,0.00505,0.00514,0.15877,1.6623,1
clone + residual,6,0.28202,0.00284,0.00335,0.45239,1.6204,1
clone + residual,7,0.20525,0.00066,0.00239,0.29433,1.4386,1
clone + residual,8,0.33860,0.00253,0.00554,0.47543,1.4147,1
clone + residual,9,0.08538,0.00336,0.00336,0.24233,2.9547,1
clone + residual,10,0.15299,0.00188,0.00555,0.23153,1.5323,1
clone + residual,11,0.22874,0.00373,0.00414,0.27978,1.2434,1
clone + residual,12,0.30876,0.00461,0.00591,0.35789,1.1767,1
clone + residual,13,0.24962,0.00032,0.00331,0.27822,1.1160,1
clone + residual,14,0.17595,0.00115,0.01584,0.24908,1.4250,1
clone + residual,15,0.10832,0.00115,0.00167,0.13073,1.2199,1
clone + residual,16,0.29178,0.00057,0.00216,0.35812,1.2297,1
clone + residual,17,0.22589,0.00984,0.00985,0.30326,1.4036,1
clone + residual,18,0.03707,0.00242,0.00304,0.04944,1.4269,1
clone + residual,19,0.24099,0.00260,0.00260,0.33642,1.4112,1
clone + residual,20,0.19660,0.00239,0.00855,0.25865,1.3318,1
clone + residual,21,0.03071,0.00328,0.01690,0.16130,5.8809,1
clone + residual,22,0.08367,0.00295,0.00329,0.18880,2.3389,1
clone + residual,23,0.16059,0.00212,0.00515,0.31351,1.9783,1
clone + residual,24,0.12580,0.00270,0.00556,0.16434,1.3350,1
clone + residual,25,0.31873,0.00088,0.00134,0.38076,1.1979,1
clone + residual,26,0.14984,0.00420,0.00875,0.18752,1.2875,1
clone + residual,27,0.24484,0.00121,0.00284,0.33421,1.3718,1
clone + residual,28,0.30627,0.00346,0.00763,0.63040,2.0818,1
clone + residual,29,0.10318,0.03233,0.03960,0.44850,6.3307,0
clone + residual,30,0.33832,0.00898,0.01038,0.40288,1.2233,1
clone + residual,31,0.14079,0.00607,0.00706,0.19868,1.4748,1
clone + residual,32,0.15517,0.00104,0.00220,0.23153,1.5021,1
clone + residual,33,0.14703,0.00003,0.00019,0.17916,1.2188,1
clone + residual,34,0.35317,0.00111,0.00123,0.61919,1.7587,1
clone + residual,35,0.20928,0.00051,0.00530,0.28654,1.3725,1
